episode,steps,reward_0,reward_1,loss_0,loss_1,collisions_0,collisions_1,ou_theta_0,ou_theta_1,ou_mu_0,ou_mu_1,ou_sigma_0,ou_sigma_1,ou_dt_0,ou_dt_1,ou_x0_0,ou_x0_1
29,2,-0.035583089545282685,-250.5167464502001,-0.5,-0.5,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
30,7,-71.49998150039814,0.07141007182671376,-0.14285714285714285,-0.14285714285714285,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
31,3,-0.10005525676413614,-167.50918655619014,-0.3333333333333333,-0.3333333333333333,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
32,14,-0.18281891452995103,-35.68965688041336,-0.07142857142857142,-0.07142857142857142,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
33,4,-0.07092712462848029,-125.44337321174449,-0.25,-0.25,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
34,8,-0.14015142235519415,-62.512770363793706,2934.0440063476562,2943.0967615600675,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
35,10,-50.11618683935122,-0.27721869258872706,17195.596533203126,16466.799414325505,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
36,3,-0.11365432709644459,-167.1050413132779,18222.807942708332,7839.59722490112,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
37,3,-166.78811436696301,0.1214477002963427,10412.762332135191,26116.415690104168,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
38,2,-250.19021662921196,0.19014930987709686,11711.461845604703,0.1813667267560959,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
39,1,-0.18867834316337317,-500.92176141421425,15614.71875,31314.46484375,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
40,5,-0.21320233443578668,-100.62042390476628,14044.60771484375,15659.284385597706,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
41,12,-0.09072548937934387,-41.712637211258006,18188.717095962416,18231.5738763089,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
42,9,-0.06156802600914219,-55.64140495589059,19009.819680545064,19928.463005701702,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
43,5,-100.13434041150914,0.13434041150913845,17088.816015625,24903.9060546875,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
44,15,-33.497631950961555,0.11010014998322168,14459.449731175106,19633.730891927084,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
45,6,83.28563365576447,-166.8243480618097,11596.10945312182,16712.13657061259,1.0,1.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
46,5,-100.12210484796987,0.12210484796986198,9283.0754322052,18441.843930244446,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
47,5,-100.09109234440277,0.03254176733624301,26216.9765625,15340.17705078125,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
48,13,-38.55859988577603,-0.012748636561862271,19979.176720252402,18752.65461701613,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
49,9,-0.15026564747804594,-55.743584740265064,20242.90310329861,16801.080132378473,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
50,8,-0.1526981084760866,-62.6156031043526,16989.83863067627,17737.061155319214,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
51,18,-0.10058532789850701,-27.7950068051797,15301.427354600695,18810.406860775416,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
52,3,-166.82010303035057,0.15343636368391556,9669.157063802084,4996.760162353516,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
53,8,-62.59566132691816,-0.028967801325543933,11942.886112213135,16904.58564376831,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
54,5,-0.17169879858907913,-100.2063896498696,17263.5314453125,19863.8470703125,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
55,3,-0.1693989023955252,-167.02901578459964,17208.330240885418,19074.33740234375,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
56,6,-0.10889404241237206,-83.56395903653383,14537.581100463867,16401.53535970052,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
57,2,-0.08764288750187976,-250.8343343763186,17426.16650390625,17236.4072265625,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
58,5,-0.13711138308528534,-100.31539052588654,12971.921484375,12661.2392578125,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
59,7,-71.57178622914797,0.14321480057654098,17096.660016741072,17910.985491071428,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
60,2,-250.1110512809045,0.11105128090448138,7560.662353515625,23760.673828125,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
61,8,-0.09421877611520293,-62.58133153700635,16417.100608825684,15898.510925292969,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
62,7,-71.52898684868404,0.10041542011261283,15499.62220982143,17107.047781808036,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
63,7,-0.12743220813463194,-71.48797675973753,11034.01034109933,18516.150948660714,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
64,3,-0.228938281075026,-166.79676618507594,7907.147196451823,11466.796875,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
65,5,-0.19522125290201314,-100.07058743213604,17552.6748046875,16701.7875,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
66,2,-250.05221256330083,0.05221256330084681,11714.876159667969,19621.7890625,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
67,6,-83.48100655261209,0.1476732192787523,14168.149007161459,14490.404520670572,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
68,9,-55.74986412497178,-55.58860481318202,18676.444390190973,17356.951768663195,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
69,6,-83.40989745059923,0.07656411726589626,12397.715901692709,15054.788899739584,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
70,7,-0.11423983184980321,-71.46232312319844,17703.6943359375,17761.278250558036,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
71,7,-0.1744361164489077,-71.53372326722624,15507.51318359375,13740.803989955357,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
72,13,-0.08457686325950566,-38.51928193052201,11989.866746168871,14932.362802358773,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
73,4,-0.15258793072773158,-125.09996942682697,15174.915893554688,12139.72250366211,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
74,1,-0.11311199795333929,-500.9697925967237,13512.21875,34056.51171875,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
75,4,-0.17886737681828782,-125.2583114181082,11947.723876953125,12023.183563232422,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
76,2,-0.05754402149460876,-250.93693412655622,8012.21240234375,14737.5263671875,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
77,5,-0.0913112303038542,-100.5361185635862,19287.8126953125,15363.70947265625,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
78,8,-0.12093879919383113,-62.68051508566352,13479.432678222656,21249.522216796875,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
79,7,-71.51974017377047,0.09116874519903692,13707.873604910714,15291.08349609375,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
80,9,-0.05992522238322332,-55.49563033317233,15958.141764322916,19738.3271484375,1.0,1.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
81,2,-250.0873160927797,0.08731609277970093,7391.889404296875,24005.2841796875,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
82,7,-71.59956464666114,-71.55394388487706,18982.28053501674,21343.828543526786,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
83,1,-0.26133605412710403,-500.83792808286375,34052.3359375,13502.3212890625,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
84,13,-0.13607176878784383,-38.41520643653076,17778.542489858773,21227.592435396633,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
85,7,-71.52432492581066,0.08242344666811771,14519.39243861607,13894.022234235492,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
86,2,-0.19904770883969333,-250.73849361854406,31484.39453125,14705.32470703125,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
87,3,-0.06400722719140933,-167.33211816421405,4696.381510416667,18022.714192708332,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
88,10,-0.07208062838714444,-50.0603132818313,10315.5240234375,24921.99658203125,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
89,8,-0.11698030993068756,-62.51079779381982,18314.386642456055,13836.904418945312,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
90,3,-0.19711863914930292,-166.8136701907661,19689.754557291668,10033.076009114584,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
91,14,-35.817491331699756,-35.69968944234653,13557.747384207589,19164.48747907366,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
92,4,-125.06991550480015,0.06991550480015381,13607.094543457031,9974.415466308594,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
93,6,-83.47885354937893,0.14552021604558865,11805.90853881836,15199.054606119791,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
94,6,-0.08557700921264678,-83.43495825860309,13599.462158203125,18315.328694661457,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
95,5,-0.05236440570504648,-100.17862561880689,22333.2015625,20481.82197265625,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
96,2,-250.12372447507877,0.12372447507878628,14184.781494140625,17170.670318603516,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
