episode,steps,reward_0,reward_1,loss_0,loss_1,collisions_0,collisions_1,ou_theta_0,ou_theta_1,ou_mu_0,ou_mu_1,ou_sigma_0,ou_sigma_1,ou_dt_0,ou_dt_1,ou_x0_0,ou_x0_1
0,13,-38.54397180514202,0.08243334360355989,-0.07692307692307693,-0.07692307692307693,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
1,30,-16.773769870898995,0.10710320423232998,-0.03333333333333333,-0.03333333333333333,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
2,10,-50.09710153259236,0.09710153259235808,-0.1,-0.1,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
3,11,-45.60606647422163,0.15152101967618056,-0.09090909090909091,-0.09090909090909091,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
4,5,-100.19727290054888,-100.27983097939781,-0.2,-0.2,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
5,16,-31.345536339773414,0.01928046671597739,-0.0625,-0.0625,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
6,11,-45.605520423282755,0.1509749687373008,-0.09090909090909091,-0.09090909090909091,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
7,13,-0.07447236251350699,-38.50557943012566,-0.07692307692307693,-0.07692307692307693,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
8,5,-100.05614579708953,-0.5830637337701153,-0.2,-0.2,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
9,12,41.62032297579069,-83.28698964245736,-0.08333333333333333,-0.08333333333333333,2.0,2.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
10,8,-0.05141502898612064,-62.66254452513957,-0.125,-0.125,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
11,7,-71.51384942318182,0.0852779946103981,-0.14285714285714285,-0.14285714285714285,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
12,3,-166.71033326998463,0.043666603317964826,-0.3333333333333333,-0.3333333333333333,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
13,4,-125.17540362169498,0.03027998575231454,-0.25,-0.25,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
14,8,-62.67034436093366,0.13062070998673683,-0.125,-0.125,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
15,4,-0.16379504115052917,-125.21560947747457,-0.25,-0.25,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
16,4,-0.10407521325907555,-125.24868365528182,-0.25,-0.25,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
17,14,-35.83060540323122,0.1163196889455009,-0.07142857142857142,-0.07142857142857142,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
18,10,-50.058058628774674,-50.27988945667736,-0.1,-0.1,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
19,3,-166.87408207258224,0.20741540591555077,-0.3333333333333333,-0.3333333333333333,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
20,3,-166.8522246169047,0.18555795023801083,-0.3333333333333333,-0.3333333333333333,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
21,6,-83.43109155842444,-83.48570663987094,-0.16666666666666666,-0.16666666666666666,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
22,14,-0.1132623113288568,-35.72326523557666,-0.07142857142857142,-0.07142857142857142,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
23,4,-0.04667367880119201,-125.2052010717977,-0.25,-0.25,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
24,13,-0.10537555207817272,-38.437391333844516,-0.07692307692307693,-0.07692307692307693,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
25,3,-166.72194588356646,0.05527921689981147,-0.3333333333333333,-0.3333333333333333,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
26,4,-0.16393512377966424,-125.38590047348939,-0.25,-0.25,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
27,4,-125.07057258218447,0.07057258218446627,-0.25,-0.25,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
28,6,-83.56130327297188,-83.45825175820839,-0.16666666666666666,-0.16666666666666666,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
29,4,-125.11232251991315,0.11232251991314965,-0.25,-0.25,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
30,4,-125.15934505945717,0.15934505945716454,-0.25,-0.25,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
31,5,-100.11642830433982,0.11642830433982643,-0.2,-0.2,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
32,7,-0.08296054165288076,-71.49187532186177,-0.14285714285714285,-0.14285714285714285,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
33,8,62.4607401031791,-125.19200062683548,-0.125,-0.125,1.0,1.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
34,7,-71.54670688463928,-71.53173760651238,-0.14285714285714285,-0.14285714285714285,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
35,10,-50.17274836892195,0.0801187195630014,-0.1,-0.1,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
36,5,-0.09337463714450092,-100.26287068700377,-0.2,-0.2,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
37,9,-0.1394152024154046,-55.58975040493734,-0.1111111111111111,-0.1111111111111111,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
38,15,33.24193500239862,-66.61743934363298,3129.6036458333333,1569.543359375,2.0,2.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
39,1,-0.13344075361491964,-500.8923853708925,7817.9775390625,7856.412109375,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
40,4,-0.10016783477895978,-125.15485881720086,23455.167236328125,11764.656005859375,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
41,11,-0.0818498999325615,-45.45480374002656,21304.521573153408,18496.453993176194,1.0,1.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
42,4,-125.02741559167727,0.027415591677267155,23409.351440429688,17608.783203125,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
43,17,-0.09623162609951756,-29.41106048874844,23396.40495749081,16525.093319163603,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
44,8,-62.637647204487656,0.13764720448766002,21408.359178066254,24331.011840820312,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
45,12,-41.80964898466664,0.14298231799996822,27170.466064453125,23261.17451985677,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
46,8,-0.09438083883349521,-62.627121227502414,30945.13134765625,10613.904474496841,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
47,7,-0.14687784252525019,-71.43345665485596,22012.24190848214,17586.160808018274,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
48,3,-166.77087210217638,0.10420543550971241,22927.705078125,17852.75048828125,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
49,9,-55.709063038908255,0.15350748335270212,17069.55349392361,21183.931206597223,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
